ID,airport_name,type,country,lat,long,elevation,service
BG-0001,Livada Airport,closed,BG,42.456284,27.197334,58.0,no
BG-0007,Glozhene South Airport,closed,BG,43.678589,23.796827,177.0,no
BG-0008,Kozloduy Airfield,closed,BG,43.763134,23.722031,152.0,no
BG-0010,Krushovene Airfield,closed,BG,43.623531,24.378567,130.0,no
BG-0011,Milkovitsa Airfield,closed,BG,43.634274,24.757254,400.0,no
BG-0013,Dve Mogili Airfield,small_airport,BG,43.606541,25.89069,837.0,no
BG-0018,Irechekovo Airfield,closed,BG,42.470249,26.733295,804.0,no
BG-0021,Gledka Airfield,closed,BG,41.5999,25.3857,962.0,no
BG-0024,Krivnya Agricultural Airfield,small_airport,BG,43.66307,26.422251,984.0,no
BG-0025,Belchinski Bani Airstrip,small_airport,BG,42.374713,23.392548,,no
BG-0028,Blagoevo Airfield,small_airport,BG,43.455488,26.431655,1185.0,no
BG-0030,Bozhurishte Airport,closed,BG,42.753228,23.202753,1877.0,no
BG-0031,Draganovtsi Airfield,small_airport,BG,42.943042,25.169528,,no
BG-0032,Breznik Airfield,small_airport,BG,42.693305,22.896559,699.0,no
BG-0034,Bregovo Airstrip,closed,BG,44.132,22.659357,195.0,no
BG-0035,Kapitanovtsi Airstrip,closed,BG,44.055815,22.878457,155.0,no
BG-0039,Branichevo Airstrip,small_airport,BG,43.666213,27.100207,,no
BG-0040,Air Belozem Airstrip,small_airport,BG,42.216573,25.068086,515.0,no
BG-0045,Mogilishte Airstrip,small_airport,BG,43.49156,28.351996,423.0,no
BG-0046,Dzhulyunitsa Airstrip,small_airport,BG,43.5858,25.614431,,no
BG-0049,Kalipetrovo Agricultural Airfield,closed,BG,44.058828,27.256136,427.0,no
BG-0050,Koynare Airstrip,small_airport,BG,43.371055,24.130442,,no
BG-0056,Karamanite Airstrip,closed,BG,43.494528,27.448031,955.0,no
BG-0057,Lozen Airstrip,small_airport,BG,43.301985,25.862821,751.0,no
BG-0058,Dragoman Airfield,closed,BG,42.933316,22.978828,2316.0,no
BG-0061,Doyrentsi Airfield,closed,BG,43.250388,24.838526,738.0,no
BG-0062,Knezha Airstrip,small_airport,BG,43.546246,24.094756,495.0,no
BG-0063,Brenitsa Airstrip,small_airport,BG,43.4415329,24.1403714,,no
BG-0064,Gradishte Airstrip,small_airport,BG,43.333531,26.853869,931.0,no
BG-0065,Borovan Airstrip,small_airport,BG,43.426891,23.77037,,no
BG-0067,Aytos Airstrip,small_airport,BG,42.677296,27.254723,250.0,no
